status	job	reason	graph
SKIP	w0:103	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util_portable.cpp:130] Check failed (all_contiguous || all_channels_last): 2 input tensors have different dim orders [op_fft_r2c.cpp:29] Check failed (tensors_have_same_dim_order(in, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::_fft_r2c.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 8 [method.cpp:1490] arg 2 with type id 4 [method.cpp:1490] arg 3 with type id 5 [method.cpp:1490] arg 4 with type id 1 [method.cpp:1490] arg 5 with type id 1	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:14	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:166	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:17	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:193	client RuntimeError: method->execute() failed with error 0x12 | [op_arange.cpp:55] Check failed (utils::extract_scalar(start, &d_start)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::arange.start_out: 0x12 [method.cpp:1490] arg 0 with type id 5 [method.cpp:1490] arg 1 with type id 5 [method.cpp:1490] arg 2 with type id 5 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=arange.start_out(·,·,·,·)
SKIP	w0:200	client RuntimeError: method->execute() failed with error 0x12 | [op_sub.cpp:144] Check failed (utils::extract_scalar(alpha, &alpha_val)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::sub.Scalar_out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 4 [method.cpp:1490] arg 2 with type id 4 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=sub.Scalar(L0,·,·)
SKIP	w0:218	client RuntimeError: method->execute() failed with error 0x12 | [normalization_ops_util.cpp:160] Check failed (in.size(0) == N):  [op_native_group_norm.cpp:139] Check failed (check_group_norm_args( input, weight, bias, N, C, HxW, group, out, mean_out, rstd_out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::native_group_norm.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 0 [method.cpp:1490] arg 2 with type id 0 [method.cpp:1490] arg 3 with type id 4 [method.cpp:1490] arg 4 with type id 4 [method.cpp:1490] arg 5 with type id 4 [method.cpp:1490] arg 6 with type id 4 [method.cpp:1490] arg 7 with type id 3 [method.cpp:1490] arg 8 with type id 1 [method.cpp:1490] arg 9 with type id 1 [method.cpp:1490] arg 10 with type id 1 [method.cpp:1490] arg 11 with type id 9	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:245	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:264	client RuntimeError: method->execute() failed with error 0x12 | [op_copy.cpp:33] Check failed (non_blocking == false):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::copy.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 1 [method.cpp:1490] arg 2 with type id 5 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=copy(L0,L1,·)
MISMATCH	w0:278	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
SKIP	w0:300	client RuntimeError: method->execute() failed with error 0x12 | [normalization_ops_util.cpp:160] Check failed (in.size(0) == N):  [op_native_group_norm.cpp:139] Check failed (check_group_norm_args( input, weight, bias, N, C, HxW, group, out, mean_out, rstd_out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::native_group_norm.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 0 [method.cpp:1490] arg 2 with type id 0 [method.cpp:1490] arg 3 with type id 4 [method.cpp:1490] arg 4 with type id 4 [method.cpp:1490] arg 5 with type id 4 [method.cpp:1490] arg 6 with type id 4 [method.cpp:1490] arg 7 with type id 3 [method.cpp:1490] arg 8 with type id 1 [method.cpp:1490] arg 9 with type id 1 [method.cpp:1490] arg 10 with type id 1 [method.cpp:1490] arg 11 with type id 9	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:303	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util.h:617] Check failed (static_cast<size_t>(t.dim()) == rank): Expected tensor.dim() to be 2, but got 1 [distance_util.cpp:16] Check failed (tensor_is_rank(in, 2)):  [op_pdist_forward.cpp:25] Check failed (check_pdist_args(in, p, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::_pdist_forward.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 3 [method.cpp:1490] arg 2 with type id 1 [method.cpp:1490] arg 3 with type id 1	n0*=_pdist_forward(L0,·)
SKIP	w0:331	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util_portable.cpp:130] Check failed (all_contiguous || all_channels_last): 2 input tensors have different dim orders [op_fft_r2c.cpp:29] Check failed (tensors_have_same_dim_order(in, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::_fft_r2c.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 8 [method.cpp:1490] arg 2 with type id 4 [method.cpp:1490] arg 3 with type id 5 [method.cpp:1490] arg 4 with type id 1 [method.cpp:1490] arg 5 with type id 1	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:349	client RuntimeError: method->execute() failed with error 0x12 | [op_add.cpp:118] Check failed ((common_type == a_type && check_alpha_type(utils::get_scalar_dtype(alpha), common_type))):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::add.Scalar_out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 4 [method.cpp:1490] arg 2 with type id 4 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=add.Scalar(L0,·,·)
SKIP	w0:36	client RuntimeError: method->execute() failed with error 0x12 | [op_copy.cpp:33] Check failed (non_blocking == false):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::copy.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 1 [method.cpp:1490] arg 2 with type id 5 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=copy(L0,L1,·)
MISMATCH	w0:374	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w0:394	out[0] max|delta|=5.765e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:421	client RuntimeError: method->execute() failed with error 0x12 | [op_arange.cpp:55] Check failed (utils::extract_scalar(start, &d_start)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::arange.start_out: 0x12 [method.cpp:1490] arg 0 with type id 5 [method.cpp:1490] arg 1 with type id 5 [method.cpp:1490] arg 2 with type id 5 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=arange.start_out(·,·,·,·)
MISMATCH	w0:446	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:485	client RuntimeError: method->execute() failed with error 0x12 | [index_util.cpp:156] Check failed (index.scalar_type() == ScalarType::Long): Expected dtype int64 for index; index.scalar_type() = Int [op_scatter.cpp:113] Check failed (check_scatter_src_args(in, dim, index, src, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::scatter.src_out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 4 [method.cpp:1490] arg 2 with type id 1 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1 [method.cpp:1490] arg 5 with type id 1	n0*=scatter.src_out(L0,·,L1,L2,·)
MISMATCH	w0:50	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:506	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
SKIP	w0:528	client RuntimeError: method->execute() failed with error 0x12 | [normalization_ops_util.cpp:160] Check failed (in.size(0) == N):  [op_native_group_norm.cpp:139] Check failed (check_group_norm_args( input, weight, bias, N, C, HxW, group, out, mean_out, rstd_out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::native_group_norm.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 0 [method.cpp:1490] arg 2 with type id 0 [method.cpp:1490] arg 3 with type id 4 [method.cpp:1490] arg 4 with type id 4 [method.cpp:1490] arg 5 with type id 4 [method.cpp:1490] arg 6 with type id 4 [method.cpp:1490] arg 7 with type id 3 [method.cpp:1490] arg 8 with type id 1 [method.cpp:1490] arg 9 with type id 1 [method.cpp:1490] arg 10 with type id 1 [method.cpp:1490] arg 11 with type id 9	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:531	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util.h:617] Check failed (static_cast<size_t>(t.dim()) == rank): Expected tensor.dim() to be 2, but got 1 [distance_util.cpp:16] Check failed (tensor_is_rank(in, 2)):  [op_pdist_forward.cpp:25] Check failed (check_pdist_args(in, p, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::_pdist_forward.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 3 [method.cpp:1490] arg 2 with type id 1 [method.cpp:1490] arg 3 with type id 1	n0*=_pdist_forward(L0,·)
SKIP	w0:559	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util_portable.cpp:130] Check failed (all_contiguous || all_channels_last): 2 input tensors have different dim orders [op_fft_r2c.cpp:29] Check failed (tensors_have_same_dim_order(in, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::_fft_r2c.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 8 [method.cpp:1490] arg 2 with type id 4 [method.cpp:1490] arg 3 with type id 5 [method.cpp:1490] arg 4 with type id 1 [method.cpp:1490] arg 5 with type id 1	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:602	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w0:622	out[0] max|delta|=6.711e+07 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:624	client RuntimeError: method->execute() failed with error 0x12 | [index_util.cpp:156] Check failed (index.scalar_type() == ScalarType::Long): Expected dtype int64 for index; index.scalar_type() = Int [op_scatter_add.cpp:61] Check failed (check_scatter_add_args(self, dim, index, src, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::scatter_add.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 4 [method.cpp:1490] arg 2 with type id 1 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1 [method.cpp:1490] arg 5 with type id 1	n0*=scatter_add.out(L0,·,L1,L2,·)
SKIP	w0:630	client RuntimeError: method->execute() failed with error 0x12 | [copy_ops_util.cpp:165] Check failed (implicit == false): This operator is not implemented for when implicit == true. [op_expand_copy.cpp:63] Check failed (check_expand_copy_args(self, expand_sizes, implicit, out)):  [method.cpp:1480] KernelCall failed at instruction 0:0 in operator aten::expand_copy.out: 0x12 [method.cpp:1490] arg 0 with type id 1 [method.cpp:1490] arg 1 with type id 8 [method.cpp:1490] arg 2 with type id 5 [method.cpp:1490] arg 3 with type id 1 [method.cpp:1490] arg 4 with type id 1	n0*=expand_copy(L0,·,·)
